Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0402,2,4.7uF,
"C10, C16, C17, C4, C6, C7, C8, C9",0402,8,0.1uF,
"C11, C12, C13, C14",0402,4,12pF,
C15,0402,1,10uF,
"C2, C21, C22, C3",0402,4,1uF,
"C20, C25",0402,2,150pF,
"C23, C24",0402,2,100nF,
COIL,Untitled,1,NFC,
D1,0603,1,LED,
IC1,SOT95P270X145-5N,1,MCP73831T-2ATI_OT,
IC2,SOT95P280X145-5N,1,TPS78833DBVR,
IC3,QFN40P600X600X95-49N-D,1,nRF52840-QFAA-F-R7,
IC4,SON50P300X200X60-9N,1,W25Q16JVUXIQ_TR,
J1,GCT_USB4085-GF-A_REVA4,1,USB4085-GF-A_REVA4,
J2,PinHeader_1x02_P1.27mm_Vertical,1,Conn_01x02,
J3,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04,
J4,PinHeader_1x09_P1.27mm_Vertical,1,Conn_01x09,
"R1, R2",0402,2,5.1k,
R3,0402,1,2k,
R4,0402,1,1k,
"R5, R6, R7, R8",0402,4,10k,
S1,SMT_4.2X3.2_,1,SKRPACE010,
"TP1, TP2",TestPoint_Pad_D1.0mm,2,TestPoint,
Y1,ABM11W300000MHZ4B1UT3,1,ABM11W-32.0000MHZ-8-B1U-T3,
Y2,ABS06,1,ABS06-32.768KHZ-9-T,
